epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60258,2.71462,4.60743,2.17988,0,0,0,0,3.29353,4.80033,2.28044,2e-05,2e-05,2e-05
2,16.3485,2.68885,4.49877,2.23134,0,0,0,0,3.11036,4.83568,2.26788,4.85857e-05,4.85857e-05,4.85857e-05
3,24.153,2.54824,4.51023,2.03948,0,0,0,0,2.99924,4.76426,2.25978,7.54743e-05,7.54743e-05,7.54743e-05
4,30.7032,2.50502,4.42334,1.99826,0,0,0,0,2.89363,4.70996,2.21733,0.000100666,0.000100666,0.000100666
5,38.3507,2.30878,4.3353,1.82933,0,0,0,0,2.80022,4.68334,2.23533,0.00012416,0.00012416,0.00012416
6,45.0445,2.27373,4.1032,1.73288,0,0,0,0,2.76491,4.70925,2.21767,0.000145957,0.000145957,0.000145957
7,52.7083,2.26243,4.18624,1.69909,0.0007,0.08333,0.00404,0.0004,2.74145,4.70122,2.17346,0.000166057,0.000166057,0.000166057
8,59.0688,2.20152,3.97103,1.67008,0,0,0,0,2.61474,4.71937,2.0951,0.00018446,0.00018446,0.00018446
9,67.8262,2.23044,3.83359,1.71886,0,0,0,0,2.56718,4.68366,2.0775,0.000201166,0.000201166,0.000201166
10,74.2404,2.26749,3.83879,1.70671,0.00066,0.08333,0.00666,0.00067,2.60174,4.6615,2.09565,0.000216174,0.000216174,0.000216174
11,81.8506,2.1469,3.60143,1.57585,0.00183,0.19444,0.00973,0.00213,2.62028,4.56705,1.99162,0.000229486,0.000229486,0.000229486
12,88.5895,2.2244,3.47944,1.62423,0.00113,0.16667,0.01084,0.00278,2.60364,4.53373,1.96577,0.0002411,0.0002411,0.0002411
13,96.1591,2.17818,3.3706,1.55214,0.00172,0.19444,0.00928,0.00189,2.70422,4.45359,1.96287,0.000251017,0.000251017,0.000251017
14,102.908,2.099,3.24364,1.52234,0.00221,0.27778,0.01486,0.00211,2.77874,4.42174,1.96818,0.000259237,0.000259237,0.000259237
15,110.287,2.15042,3.13506,1.53675,0.00329,0.45278,0.02001,0.00452,2.80374,4.42978,2.00131,0.00026576,0.00026576,0.00026576
16,117.228,2.24141,3.15952,1.55325,0.50417,0.08333,0.01431,0.0052,2.88073,4.36243,2.05441,0.000270586,0.000270586,0.000270586
17,126.843,2.14764,3.03039,1.51263,0.00206,0.425,0.00839,0.0017,2.86137,4.24763,2.0304,0.000273714,0.000273714,0.000273714
18,134.769,2.15124,2.88958,1.50274,0.00186,0.425,0.01209,0.00234,2.7957,4.34501,2.0484,0.000275146,0.000275146,0.000275146
19,141.195,2.2355,2.85652,1.54819,0.25822,0.425,0.01652,0.00297,2.77682,4.34721,2.07661,0.00027488,0.00027488,0.00027488
20,148.88,2.13671,3.13087,1.54781,0.25635,0.13333,0.01091,0.0029,2.78407,4.27298,2.09732,0.000272917,0.000272917,0.000272917
21,155.258,2.00405,2.97431,1.43244,0.26036,0.13333,0.01588,0.00566,2.68961,4.22018,2.01568,0.000269257,0.000269257,0.000269257
22,162.975,2.06723,2.84222,1.46509,0.26777,0.21667,0.04356,0.01499,2.65354,4.1392,1.98009,0.0002639,0.0002639,0.0002639
23,169.429,2.13655,2.71077,1.45284,0.27157,0.21667,0.08083,0.03397,2.59258,4.06104,1.93872,0.000256846,0.000256846,0.000256846
24,176.993,2.04435,2.80002,1.46933,0.31237,0.22421,0.14702,0.04313,2.51022,4.0705,1.86098,0.000248094,0.000248094,0.000248094
25,183.294,1.96675,2.67062,1.38974,0.31563,0.17906,0.14548,0.0462,2.47391,4.00292,1.79252,0.000237646,0.000237646,0.000237646
26,191.04,2.02609,2.69378,1.49192,0.60141,0.17347,0.18283,0.05761,2.47054,3.89878,1.76101,0.0002255,0.0002255,0.0002255
27,197.398,2.03337,2.61085,1.45593,0.62415,0.1692,0.18697,0.05735,2.45813,3.86895,1.74296,0.000211657,0.000211657,0.000211657
28,204.841,2.00681,2.45305,1.46859,0.62815,0.17496,0.1877,0.0602,2.4305,3.81401,1.73192,0.000196117,0.000196117,0.000196117
29,211.061,1.90124,2.34683,1.40707,0.62815,0.17496,0.1877,0.0602,2.4305,3.81401,1.73192,0.00017888,0.00017888,0.00017888
30,218.49,1.94622,2.49337,1.43291,0.60306,0.18333,0.1875,0.05944,2.45825,3.73667,1.76055,0.000159946,0.000159946,0.000159946
31,224.779,1.90263,2.41172,1.41284,0.59739,0.18333,0.27133,0.0746,2.48411,3.6862,1.79833,0.000139314,0.000139314,0.000139314
32,232.253,1.91488,2.38155,1.43627,0.55296,0.30833,0.29326,0.07171,2.47579,3.69617,1.80989,0.000116986,0.000116986,0.000116986
33,240.095,1.82929,2.37642,1.40731,0.55296,0.30833,0.29326,0.07171,2.47579,3.69617,1.80989,9.296e-05,9.296e-05,9.296e-05
